Rivet ID,Analysis Name,Experiment Name,Inspire HEP Link,Inspire HEP ID
ATLAS_2012_I1083318,$W$+jets production at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/1083318,1083318
ATLAS_2012_I1084540,Rapidity gap cross sections measured with the ATLAS detector in $pp$ collisions at $\sqrt{s} = 7$ TeV.,ATLAS (LHC 7TeV),https://inspirehep.net/literature/1084540,1084540
ATLAS_2012_I1091481,Azimuthal ordering of charged hadrons,ATLAS (LHC),https://inspirehep.net/literature/1091481,1091481
ATLAS_2012_I1093738,Isolated prompt photon + jet cross-section,ATLAS (LHC),https://inspirehep.net/literature/1093738,1093738
ATLAS_2012_I1094564,Jet mass and substructure of inclusive jets at 7 TeV,ATLAS (LHC 7TeV),https://inspirehep.net/literature/1094564,1094564
ATLAS_2012_I1094568,Measurement of ttbar production with a veto on additional central jet activity,ATLAS (LHC),https://inspirehep.net/literature/1094568,1094568
ATLAS_2012_I1095236,$b$-jets search for supersymmetry with 0- and 1-leptons,ATLAS (LHC),https://inspirehep.net/literature/1095236,1095236
ATLAS_2012_I1112263,3 lepton plus missing transverse energy SUSY search,ATLAS (LHC),https://inspirehep.net/literature/1112263,1112263
ATLAS_2012_I1117704,High jet multiplicity squark and gluino search,ATLAS (LHC),https://inspirehep.net/literature/1117704,1117704
ATLAS_2012_I1118269,$b$-hadron production cross-section using decays to $D^*\mu^-X$ at $\sqrt{s} = 7$ TeV,ATLAS (LHC),https://inspirehep.net/literature/1118269,1118269
ATLAS_2012_I1119557,Jet shapes and jet masses,ATLAS (LHC 7TeV),https://inspirehep.net/literature/1119557,1119557
ATLAS_2012_I1124167,Measurement of charged-particle event shape variables,ATLAS (LHC),https://inspirehep.net/literature/1124167,1124167
ATLAS_2012_I1125575,Studies of the underlying event at 7 TeV with track-jets,ATLAS (LHC),https://inspirehep.net/literature/1125575,1125575
ATLAS_2012_I1125961,0-lepton squark and gluino search,ATLAS (LHC),https://inspirehep.net/literature/1125961,1125961
ATLAS_2012_I1126136,SUSY top partner search in jets with missing transverse momentum,ATLAS (LHC),https://inspirehep.net/literature/1126136,1126136
ATLAS_2012_I1180197,"Search for supersymmetry at 7 TeV in final states with jets, missing transverse momentum and isolated leptons with the ATLAS detector.",ATLAS (LHC),https://inspirehep.net/literature/1180197,1180197
ATLAS_2012_I1183818,Pseudorapidity dependence of the total transverse energy at 7 TeV,ATLAS (LHC 7TeV),https://inspirehep.net/literature/1183818,1183818
ATLAS_2012_I1186556,Search for a heavy top-quark partner in final states with two leptons.,ATLAS (LHC),https://inspirehep.net/literature/1186556,1186556
ATLAS_2012_I1188891,Flavour composition of dijet events at 7 TeV,ATLAS (LHC 7TeV),https://inspirehep.net/literature/1188891,1188891
ATLAS_2012_I1190891,4 or more lepton plus missing transverse energy SUSY search,ATLAS (LHC),https://inspirehep.net/literature/1190891,1190891
ATLAS_2012_I1199269,Inclusive diphoton $+ X$ events at $\sqrt{s} = 7$ TeV,ATLAS (LHC),https://inspirehep.net/literature/1199269,1199269
ATLAS_2012_I1203852,Measurement of the $ZZ(*)$ production cross-section in $pp$ collisions at 7 TeV with ATLAS,ATLAS (LHC),https://inspirehep.net/literature/1203852,1203852
ATLAS_2012_I1204447,Inclusive multi-lepton search,ATLAS (LHC),https://inspirehep.net/literature/1204447,1204447
ATLAS_2012_I1204784,Measurement of angular correlations in Drell-Yan lepton pairs to probe $Z/\gamma^*$ boson transverse momentum,ATLAS (LHC),https://inspirehep.net/literature/1204784,1204784
ATLAS_2012_I943401,Search for supersymmetry with 2 leptons and missing transverse energy,ATLAS (LHC),https://inspirehep.net/literature/943401,943401
ATLAS_2012_I946427,Search for supersymmetry with diphotons and missing transverse momentum,ATLAS (LHC),https://inspirehep.net/literature/946427,946427
ATLAS_2013_I1190187,Measurement of the $W^+ W^-$ production cross-section at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/1190187,1190187
ATLAS_2013_I1216670,W + DPI at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/1216670,1216670
ATLAS_2013_I1217863,W/Z + gamma production at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/1217863,1217863
